Job Title,Job Description,Skills,Certifications
Admin Big Data,"Responsible for managing and overseeing big data infrastructure, ensuring data integrity, security, and availability. Requires expertise in Hadoop, Spark, and data warehousing solutions.","Hadoop, Spark, MapReduce, Data Lakes, Data Warehousing, Big Data Architecture, NoSQL, Data Modeling, ETL, Cloud Computing, AWS, Azure, Data Governance, Security","Cloudera Certified Professional (CCP), Hortonworks Certified Associate (HCA), AWS Certified Big Data – Specialty"
Ansible Operations Engineer,"Focuses on automating IT processes using Ansible. Responsibilities include writing playbooks, managing configurations, and ensuring system reliability.","Ansible, Linux, Automation, Cloud Platforms, CI/CD, Infrastructure as Code, Kubernetes, Docker, AWS, Terraform, Python, Scripting, Networking","Red Hat Certified Specialist in Ansible Automation, AWS Certified DevOps Engineer – Professional"
Artifactory Administrator,"Manages the Artifactory repository for build artifacts. Responsibilities include configuring repositories, managing access permissions, and integrating with CI/CD pipelines.","Artifactory, CI/CD, Jenkins, Docker, Maven, Gradle, Build Automation, Version Control, Git, Cloud Computing, Linux, JFrog CLI","JFrog Artifactory Certification, DevOps Institute Certifications"
Artificial intelligence / Machine Learning Engineer,No description available,,
Artificial Intelligence / Machine Learning Leader,"Leads AI/ML projects and teams, defining strategy and overseeing implementation. Requires strong leadership skills and knowledge of AI technologies.","AI Strategy, Machine Learning, Team Management, Project Management, Cloud Computing, Data Science, Deep Learning, Communication, Budgeting, Stakeholder Management","AI-900: Microsoft Azure AI Fundamentals, Certified Artificial Intelligence Practitioner (CAIP)"
Artificial Intelligence / Machine Learning Sr.Leader,"Senior role overseeing multiple AI/ML initiatives. Responsible for strategic planning, team management, and ensuring alignment with business goals.","AI Strategy, Machine Learning, Team Management, Project Management, Cloud Computing, Data Science, Deep Learning, Communication, Budgeting, Stakeholder Management, Innovation, Mentoring","Certified Artificial Intelligence Practitioner (CAIP), AI-900: Microsoft Azure AI Fundamentals"
Artificial intelligence Architect,"Designs AI systems and architecture. Responsible for selecting appropriate technologies, ensuring scalability, and integrating AI solutions into existing systems.","AI Architecture, Machine Learning, Cloud Computing, Data Science, Deep Learning, System Design, AWS, Azure, Scalability, Security, Model Deployment","Google Cloud Professional Machine Learning Engineer, AWS Certified Solutions Architect – Professional"
Artificial Intelligence Researcher,Conducts research in AI to develop new algorithms and models. Publishes findings in scientific journals and collaborates with academic institutions.,"Machine Learning, Deep Learning, Research Methods, Python, TensorFlow, PyTorch, Data Analysis, Statistical Analysis, Algorithm Design, Scientific Writing","Certified Data Scientist (CDS), IEEE Certified Artificial Intelligence Engineer"
Big Data Architect,"Designs big data solutions and architecture. Responsible for data modeling, ETL processes, and ensuring the performance of big data systems.","Hadoop, Spark, Kafka, MapReduce, NoSQL, Data Warehousing, Cloud Computing, AWS, Azure, Data Lakes, Data Modeling, ETL, Data Governance, Security","Cloudera Certified Data Architect, AWS Certified Solutions Architect – Associate"
Big Data Engineer,"Builds and maintains big data pipelines. Responsible for data ingestion, transformation, and storage using technologies like Hadoop and Spark.","Hadoop, Spark, Kafka, SQL, NoSQL, Python, Java, Scala, Data Pipelines, ETL, Data Warehousing, Cloud Computing","Google Cloud Professional Data Engineer, AWS Certified Big Data – Specialty"
Big Data Specialist,Analyzes large datasets to extract insights. Requires knowledge of statistical analysis tools and big data technologies.,"Hadoop, Spark, Data Analysis, Data Visualization, SQL, NoSQL, Data Modeling, ETL, Cloud Computing, Data Mining, Statistical Analysis","Certified Big Data Analytics (CBDA), IBM Certified Data Engineer - Big Data"
Build and Release Engineer,"Manages the build process for software applications. Responsible for automating builds, managing release schedules, and ensuring software quality.","CI/CD, Jenkins, Git, Maven, Gradle, Docker, Kubernetes, Automation, Scripting, Linux, Build Tools","Certified Jenkins Engineer, AWS Certified DevOps Engineer – Professional"
Build Engineer,Focuses on building software applications from source code. Responsibilities include configuring build environments and troubleshooting build issues.,"Maven, Gradle, Ant, Jenkins, CI/CD, Git, Build Automation, Scripting, Linux, Version Control","AWS Certified Developer – Associate, Jenkins Certification"
Chef Operations Engineer,"Utilizes Chef for configuration management. Responsible for writing cookbooks, managing infrastructure as code, and automating deployment processes.","Chef, Ruby, Automation, Configuration Management, Linux, Cloud Computing, AWS, Azure, Infrastructure as Code","Chef Certification, AWS Certified DevOps Engineer – Professional"
Data Analysts,"Analyzes datasets to provide actionable insights. Requires proficiency in SQL, Excel, and data visualization tools like Tableau or Power BI.","SQL, Excel, Data Visualization, Power BI, Python, R, Statistics, Data Mining, Data Cleansing, Tableau, ETL, Data Modeling","Microsoft Certified: Data Analyst Associate, Tableau Desktop Specialist"
Data Architect,"Designs data models and architecture for databases. Responsible for ensuring data quality, integrity, and security across systems.","Data Modeling, Data Warehousing, ETL, SQL, NoSQL, Data Governance, Cloud Computing, AWS, Azure, Data Integration, Data Security","IBM Certified Data Architect - Big Data, Google Cloud Professional Data Architect"
ELK Engineer,"Implements ELK stack (Elasticsearch, Logstash, Kibana) solutions for log management/analysis while creating visualizations/dashboards.","Elasticsearch, Logstash, Kibana, Data Visualization, Log Management, Linux, AWS, Azure, Networking, Security","Elastic Certified Engineer, Elastic Stack Certification"
Gerrit Administrator,"Administers Gerrit code review tool. Responsibilities include managing user access, configuring project settings, and facilitating code reviews.","Gerrit, Git, Code Review, Linux, Automation, Scripting, Version Control",Gerrit Code Review Certification (if available)
Jenkins Engineer,Manages Jenkins CI/CD server to automate software builds/deployments. Responsibilities include configuring jobs/plugins and maintaining build pipelines.,"Jenkins, CI/CD, Automation, Groovy, Scripting, Linux, Docker, Kubernetes, Build Automation, Version Control","Certified Jenkins Engineer, AWS Certified DevOps Engineer – Professional"
Jira Administrator,"Manages Jira project management tool. Responsibilities include configuring workflows, managing user permissions, and supporting teams in Agile methodologies.","Jira, Atlassian Suite, Agile Methodologies, Workflow Configuration, User Management, Project Management","Atlassian Jira Administration Certification, AgilePM Certification"
Kubernetes Operations Engineer,"Manages Kubernetes clusters for container orchestration. Responsibilities include deploying applications, monitoring cluster health, and troubleshooting issues.","Kubernetes, Docker, Linux, Cloud Computing, AWS, Azure, Networking, CI/CD, Automation, Security","Certified Kubernetes Administrator (CKA), CNCF Kubernetes Security Specialist (CKS)"
Machine learning Architect,"Designs machine learning systems architecture. Responsible for selecting appropriate frameworks, designing workflows, and ensuring scalability of ML models.","Machine Learning, Deep Learning, Cloud Computing, Data Science, System Design, AWS, Azure, Scalability, Security, Model Deployment","Google Cloud Professional Machine Learning Engineer, AWS Certified Machine Learning – Specialty"
Machine Learning Engineer,Builds machine learning models by implementing algorithms/data processing techniques while focusing on model evaluation/deployment.,"Python, Machine Learning, TensorFlow, Keras, PyTorch, Data Analysis, Deep Learning, Natural Language Processing, Computer Vision, Data Science, Algorithms","Microsoft Certified: Azure Data Scientist Associate, TensorFlow Developer Certificate"
Operations Engineer,"Oversees IT operations to ensure system reliability. Responsibilities include monitoring system performance, troubleshooting issues, and implementing improvements.","Linux, Windows Server, Networking, Troubleshooting, Scripting, Automation, Cloud Computing, Monitoring, System Administration","ITIL Foundation Certification, CompTIA IT Fundamentals+"
Principle Engineer in Artificial Intelligence,"Leads AI initiatives within an organization. Responsibilities include strategic planning, mentoring teams, and driving innovation in AI technologies.","AI Strategy, Machine Learning, Deep Learning, Data Science, Python, TensorFlow, Cloud Computing, System Design, Mentoring, Innovation","AI-900: Microsoft Azure AI Fundamentals, Certified Artificial Intelligence Practitioner (CAIP)"
Principle Engineer in Big Data,Senior role responsible for big data strategy implementation. Oversees architecture design decisions and ensures compliance with best practices.,"Big Data Architecture, Hadoop, Spark, Kafka, Data Warehousing, Cloud Computing, Data Governance, Mentoring, Innovation","Cloudera Certified Professional (CCP), Google Cloud Professional Data Engineer"
Principle Engineer in Data Analysis,Leads data analysis projects to derive insights from complex datasets. Requires strong analytical skills and experience with statistical methods.,"Data Analysis, Statistics, SQL, Python, Data Visualization, Data Modeling, Mentoring, Innovation","Certified Analytics Professional (CAP), Microsoft Certified: Data Analyst Associate"
Principle Engineer in Machine Learning,Senior role overseeing machine learning projects. Responsible for guiding teams on best practices in model development and deployment.,"Machine Learning, Deep Learning, Python, TensorFlow, Cloud Computing, Model Deployment, Mentoring, Innovation","Google Cloud Professional Machine Learning Engineer, AWS Certified Machine Learning – Specialty"
Production Support Engineer,"Provides support for production systems to ensure uptime. Responsibilities include monitoring applications, troubleshooting issues, and performing root cause analysis.","Troubleshooting, Linux, Windows Server, Scripting, Networking, Databases, Monitoring, Automation, ITIL","ITIL Foundation Certification, CompTIA A+"
Puppet Operations Engineer,Utilizes Puppet for configuration management tasks. Responsible for writing manifests/scripts to automate system configurations across environments.,"Puppet, Ruby, Automation, Configuration Management, Linux, Cloud Computing, AWS, Azure, Infrastructure as Code","Puppet Certification, AWS Certified DevOps Engineer – Professional"
Senior Build and Release Engineer,Leads build/release engineering efforts within an organization. Manages complex build environments while ensuring timely delivery of software releases.,"CI/CD, Jenkins, Git, Maven, Gradle, Docker, Kubernetes, Automation, Scripting, Linux, Build Tools, Leadership, Mentoring","Certified Jenkins Engineer, AWS Certified DevOps Engineer – Professional"
Senior Build Engineer,Oversees build processes for software projects at a senior level. Responsible for optimizing build times and maintaining build infrastructure.,"Maven, Gradle, Ant, Jenkins, CI/CD, Git, Build Automation, Scripting, Linux, Version Control, Leadership, Mentoring","Jenkins Certification, AWS Certified Developer – Associate"
Senior DevOps Engineer,Drives DevOps initiatives at a senior level. Responsibilities include mentoring team members and implementing automation strategies.,"Docker, Kubernetes, CI/CD, AWS, Azure, Linux, Terraform, Ansible, Jenkins, Git, Automation, Networking, Python, Cloud Computing, Leadership","AWS Certified DevOps Engineer – Professional, Docker Certified Associate"
Senior Site reliability Engineer,No description available,"SRE, Monitoring, Kubernetes, Docker, Cloud Platforms, Linux, Automation, DevOps, CI/CD, Python, Networking, Leadership",
Site Reliability Engineer (Kubernetes – Docker),Focuses on maintaining high availability of containerized applications using Kubernetes/Docker while implementing SRE best practices.,"SRE, Kubernetes, Docker, Linux, Cloud Computing, Monitoring, Automation, CI/CD, Networking, Troubleshooting","Certified Kubernetes Administrator (CKA), Docker Certified Associate"
Splunk Engineer,"Implements Splunk solutions for log analysis, security monitoring, and operational intelligence. Responsible for creating dashboards/alerts and managing data ingestion.","Splunk, Data Analysis, Log Management, Security, Dashboards, Alerting, Scripting, Linux, AWS, Azure","Splunk Core Certified Power User, Splunk Enterprise Security Admin"
.NET Developer,Develops applications using .NET framework technologies including C#. Responsibilities include application design/development/testing.,".NET, C#, ASP.NET, SQL Server, Web API, MVC, Entity Framework, LINQ, Git, Cloud Computing","Microsoft Certified: .NET Developer, MCP: Programming in C#"
TeamCity Engineer,Manages TeamCity CI/CD server by configuring build configurations/pipelines and integrating with source control systems.,"TeamCity, CI/CD, Build Automation, Version Control, Git",
Tech Sales Engineer,Supports sales efforts by providing technical expertise during presentations/demonstrations while answering questions about technical aspects.,"Technical Sales, Product Knowledge, Customer Engagement, Networking Technologies",
TECHNICAL ACCOUNT MANAGER,Manages relationships with technical customers while providing support/guidance on their technology needs. Acts as a liaison between customer/engineering teams.,"Account Management, Technical Support, Customer Relationship Management (CRM), Project Management",
TECHNICAL LEAD,Leads technical teams on projects by providing guidance/mentorship while driving technical direction/decisions within projects.,"Team Leadership, Project Management, Software Development Lifecycle (SDLC), Agile Methodologies",
Terraform Engineer,Writes Terraform scripts to automate infrastructure provisioning across cloud platforms. Requires expertise in Infrastructure as Code (IaC) practices.,"Terraform, Infrastructure as Code (IaC), AWS, Azure, Google Cloud",
TFS Engineer,Manages Team Foundation Server (TFS) to support software development processes. Responsibilities include configuring build pipelines and managing version control.,"TFS (Team Foundation Server), .NET Development Tools, .NET Framework",
Twistkock Engineer,No description available,,
UDeploy Engineer,Manages deployment processes using UrbanCode Deploy. Responsibilities include configuring deployment projects and automating release workflows.,"UDeploy (UrbanCode Deploy), CI/CD, Automation, Deployment Strategies, Version Control",
UI DESIGNER,Designs user interfaces that are visually appealing while intuitive to use. Responsibilities include creating mockups/prototypes and conducting user research.,"UI Design Principles, Wireframing, Prototyping, Adobe Creative Suite, Figma, User Testing",
UI Developer,"Develops user interfaces using HTML5, CSS3, JavaScript while focusing on responsive design principles. Collaborates with UI designers to implement designs.","HTML5, CSS3, JavaScript, jQuery, Responsive Design, AngularJS, ReactJS",
Unity Developer,Develops interactive content with Unity engine including 3D simulations while working with assets created by graphic designers,"Unity3D Engine, C#, Game Development Principles, 3D Modeling, Animation",
UX DESIGNER,Conducts user research studies to gather insights on user behavior. Create wireframes/mockups based on data collected from research initiatives,"User Experience Design Principles, User Research, Wireframing, Prototyping, Usability Testing, Interaction Design",
Vault Engineer,Implement secret management to the cloud application.,"HashiCorp Vault, Secrets Management, Encryption, Access Control, Cloud Security",
Web Designer (UI/UX Designer),"Create front end web application using HTML, Css, JS.","UI/UX Design, Wireframing, Prototyping, Adobe Creative Suite, Figma",
Web Developer,"Develops and maintains websites and web applications. Responsibilities include writing code, debugging, and ensuring optimal performance across different browsers and devices.","HTML5, CSS3, JavaScript, React, Node.js, AngularJS, PHP",
WordPress Developer,"Creates and customizes WordPress websites. Responsibilities include developing themes/plugins, managing content, and ensuring website functionality.","WordPress, PHP, MySQL, HTML5, CSS3, JavaScript",
XL Deploy Engineer,"Manages deployment processes using XL Deploy. Responsibilities include configuring deployment pipelines, automating releases, and ensuring application availability.","XL Deploy, Deployment Automation, CI/CD, Version Control","XL Deploy Certification, DevOps Institute Certifications"
Zabbix Engineer,"Implements Zabbix monitoring solutions to track system performance and availability. Responsible for configuring alerts, dashboards, and monitoring metrics.","Zabbix, Monitoring Tools, Alerting Systems, Network Monitoring","Zabbix Certified Specialist, Zabbix Certified Professional"
